     timestamp        |   TestCR   |         NW arch         |       NW Activation Funcs      | epoch | initLR | LRthres | LRtype | LRScaling | momLower | momUpper | dropType | earlySt | maxFail | weightInit |   L1  |   L2  | maxNorm
04-03-18_19-34-53-318 |     0.4280 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.005 |  0.000
04-03-18_19-38-47-692 |     0.4305 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.002 |  0.000
04-03-18_19-40-33-770 |     0.4269 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.003 |  0.000
04-03-18_19-42-20-604 |     0.4193 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.001 |  0.000
04-03-18_19-44-00-343 |     0.4288 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.003 |  0.000
04-03-18_19-46-53-918 |     0.4224 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.009 |  0.000
04-03-18_19-50-47-452 |     0.4361 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.004 |  0.000
04-03-18_20-35-32-948 |     0.4230 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 |0.0001 |  0.000
04-03-18_20-39-57-463 |     0.4021 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 |0.0000 |  0.000
04-03-18_20-45-49-239 |     0.4191 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 |0.0001 |  0.000
04-03-18_20-53-19-659 |     0.4157 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 |0.0009 |  0.000
04-03-18_20-59-13-752 |     0.4177 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 |0.0005 |  0.000
04-03-18_21-29-23-030 |     0.2449 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |      10 |      1 |     0.850 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.100 |  0.000
04-03-18_21-31-34-109 |     0.2449 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |      10 |      1 |     0.850 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.300 |  0.000
04-03-18_21-33-32-801 |     0.2449 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |      10 |      1 |     0.850 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.500 |  0.000
04-03-18_21-34-59-010 |     0.2449 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |      10 |      1 |     0.850 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.800 |  0.000
04-03-18_21-36-13-441 |     0.4051 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |      10 |      1 |     0.850 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.010 |  0.000
04-03-18_21-39-17-978 |     0.3731 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |      10 |      1 |     0.850 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.030 |  0.000
04-03-18_21-40-03-982 |     0.3466 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |      10 |      1 |     0.850 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.050 |  0.000
04-03-18_21-43-56-994 |     0.3009 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |      10 |      1 |     0.850 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.080 |  0.000
04-03-18_21-45-05-348 |     0.4280 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |      10 |      1 |     0.850 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.001 |  0.000
